Duration (in seconds),"Context (Medical=1, Recidivism=2)","Transparency Level (N1, O2, T3, S4)","Experimental Group [MN1, MO2, MT3, MS4, RN5, RO6, RT7, RS8)","Validation (1=right, 2= wrong)",Attitudes to AI,Attitudes Qual,AI Understanding,AI Understanding Qual,Fairness,Fairness Qual,Trust,Trust Qual,Negative Responsibility Human,Negative Resposibility AI,Positive Resposibility Human,Positive Resposibility AI,Age,"Education (Less than high school degree = 1, etc�)",Sex,Income,"Political View (Extremly Left 0, Extremly Right 100)",Religion (No religion 0 - Fully religious 100),Ethnicity
486,2,2,6,1,5,I am not sure because I have not seen before if an AI is used for decision making and this is an important decision to take.,7,"As far as I know they use deep learning so AI recognises people's face, voice etc and learns people's reactions, emotions etc through web-based systems",5,dont know,5,as stated before not sure,8,7,7,6,28,6,2,4,50,65,6
698,2,4,8,1,8,"I am working as ML software developer and I know that it can determine the best algorithm based on statistics, not emotions or other human ""weaknesses"".",10,As I said before I work at this field,9,"It all depends on the data you're working on, but I believe if in this scenario you put enough attributes and examples Ai will make fair decision",7,"I trust this algorithm, but I don't trust people who would make interpretation of this results",2,8,8,6,24,5,2,2,36,76,6
231,1,2,2,1,4,"AI doesnt look at the mental facet of this all, its based purely on the facts, not on the emotions.",7,"Using a stream of facts, the AI is capable of making decisions in everyone's best interest",7,"Highest chance of survival gets priority, which is fair",6,"I do, however it should never take them alone",1,2,1,4,20,2,1,6,63,11,6
281,1,3,3,1,3,"whilst the AI can provide concise and clear information, I don't think this alone should be used. A lead consultant should see everyone on a case by case basis and make a professional judgment ",7,The AI collects information from a variety of factors to rank the patients in order for who needs treatment first. ,5,"By looking at data/scientific information the AI is not assessing people or their life circumstances in my opinion which could be seen as more fair than if that was taken into account, but human nature will always play a part and you will want to help those you feel are most in need ",2,I am not sure as it seems like a new technology and there is little evidence of it being successful ,10,10,10,10,25,6,2,3,60,20,6
275,1,4,4,1,5,I think that this doesnt take into account emergancies and the hospital should already have this system in place,6,yes it seems computerised but what if it makes a mistake,8,as much as i disagree with AI it did have a good fair decision making skill,2,No i do not. It makes us just another statistic,6,10,5,5,28,3,2,2,33,13,6
552,1,1,1,1,10,An AI won't be bias towards making a decision while we are all humans we can logical reasons that are biased.,10,AI  augment human intelligence and enables a smarter decision making. ,10,The output presented by an AI are independent of sensitive parameters,10,Yes I believe it's the only way to avoid biasness in decision making,9,7,10,10,23,2,1,1,15,96,1
272,2,1,5,1,5,Firstly AI can be biased based on who helped develop it so we would have to know that to know whether any potential biases have affacted the development of the AI that may discriminate against marginalised groups.,2,We need more information to be able to understand how it determines who to pick,5,we have no way of knowing without being presented a dataset and the AI's decisions,5,It depends on who developed the AI,9,9,9,10,27,6,1,8,5,40,6
444,1,2,2,1,2,The consultant needs to think of the individual as a whole not just rely on AI,6,AI will make decisions based on information it is given.,7,"It's fair if it is programmed not take into account sexuality, ethnicity etc., and bases decisions purely on medical need",0,Not at all. I would much rather a human/panel made these decisions.,8,8,8,7,49,3,2,2,51,28,6
693,1,2,2,1,7,"I think AI would be useful in narrowing down and filtering out irrelevant data or prioritizing the top 50% of patients who require an emergency appointment based on a given criteria, however I then think the use of a fully qualified professional doctor should utilize their experience and training to decide who to prioritise from that 50%, that way there is less change those who may fall into a moderate emergency that are actually high emergency would be missed. There may be information outside of the criteria accounted for by the AI that could mean life or death however this would be missed.",5,I think decisions are made based on the answers to pre existing criteria and using previous outcomes to determine future outcomes. The AI can only use the information given to it to predict how to come to the most suitable decision.,5,The information you provide the AI to make future decisions will reflect the outcome. The initial algorithm can be programmed to be biased to a specific outcome.,5,I do trust AI to make decisions of moderate importance. I think they can make decisions quickly and free from human error however I would like to know the criteria that the decisions are based on ,7,9,7,9,26,6,2,4,50,13,6
684,1,1,1,1,8,because it will show level of competency and give accurate report,8,it collect the data of the patients,8,it gives room for fair decision ,10,it gives best decision base on honesty,2,3,7,8,34,6,1,8,12,72,6
312,2,2,6,1,6,"It could be a serious help, but should not be the only source",5,"I think it will make a prediction based on the crimes they've commited, their behaviour when imprisoned...",6,"It has no personal bias, but on the other hand it can't predict human decission making",7,"The decisions have to be made either way, maybe it's best to have the help of the AI as an extra source.",8,6,8,4,23,4,2,2,41,16,6
492,2,4,8,1,7,The information is details,7,I think its follows the algorithms ,7,"Yes, there is no bias and no emotions ",8,"Yes,i trust the AI because of it non bias",5,8,6,9,26,5,1,11,49,63,1
207,2,4,8,1,10,AI cannot determine the nuances of human characteristics that could outweigh other demographics,5,I don't really understand beyond it ranks certain variables as more valuable than others,0,The way AI makes decisions is arbitrary thus not fair,0,AI is not a human and cannot understand the complexities of each individual situation,0,0,0,1,31,4,2,3,2,1,6
250,2,1,5,1,7,"you get more data in less time, but the decision should still be made by a human",7,based on data,5,depends on the reliability of the data,5,depends on the data,2,2,2,2,25,5,2,3,33,1,6
716,1,2,2,1,10,The Al is used to decide on which patients would be treated with urgent medical procedure first.,9,Al is used to make decision because of limited resources.,6,It attends to critical and urgent conditions first.,9,It must have be tested and trusted.,1,2,9,9,34,5,1,6,11,82,1
238,1,2,2,1,6,I believe that humans still can evaluate the situation better but the Al could help.,0,I have no idea,5,Probably,3,I would rather trust a human doctor,10,3,10,3,18,4,2,9,28,40,6
322,1,4,4,1,7,The AI was programmed to help in this task,3,I would need a full explanation of how the AI works,5,It was build to be help those who are in most need,7,Beacause I trust the engineers that build the AI,6,8,5,8,21,5,1,5,25,5,6
303,1,1,1,1,10,AI knows better and it only cares about the facts,10,That's the best way to do that,10,It's fair because it compares people with different data,10,Definitely more that doctor,0,10,0,10,20,2,1,1,0,0,6
471,1,3,3,1,7,"Although doctors are professional and take everything into account, they could be conflicted by emotion whereas AI could determine priority cases based on history and outcomes rather than emotion potentially blurring decision making.",7,Algorithms and expected outcomes will aid this technology to choose based on probabilities and previous outcomes.,6,The only area the AI could be unfair would be cases when people with a low chance of survival but beat the odds... AI would not prioritise these people,8,Technology based that takes everything into account and has algorithms based on previous cases etc would have a trustworthy decision in my opinion.,1,1,5,5,30,3,1,3,20,2,6
348,2,2,6,1,5,I would need to see the research after a few months of decisions are made.,1,I don't know anything about AI.,3,It will likely be the only fair way based on the number of people to choose from.,3,It takes the humanness out of decisions.,4,4,4,4,26,5,2,5,78,83,6
1062,2,2,6,1,10,Artificial intelligent AI helps to inform decision makingwhich can be use by lead officer,10,Artificial intelligent AI helps in making decision on a particular issue,9,Artificial intelligent helps in making fair decision of a particular crime issue,9,I really trust AI in making decision because of the fair decision making,10,10,9,9,36,6,1,9,89,100,1
391,2,2,6,1,7,"it can be useful to an extent, since i think humans are needed to fully understand the offenders needs. AI can only be useful in terms of statistics rather than case-by-case",6,"it takes in information from previous cases, and uses that info to make decisions about future cases. i do not know if there could be a bias, since it depends on the circumstances (ie financial gain/strain) of the previous cases",5,each case  is different and shouldnt be compared with/judged by other cases. It is more complex than just using statistics,2,it's too dangerous to let AI make these decisions- they need humans to treat each case as individuals,9,9,2,6,20,3,2,5,10,9,6
259,2,2,6,1,10,Because is the best in making decisions,8,It will judge absolutely,8,It won't make wrong decision,10,Because it will be the right decision,9,10,10,10,37,7,1,12,21,86,1
377,2,4,8,1,5,I am neutral about this as  their should be other research also made in order to make a informed decison,0,i am not to sure about AL decision making ,5,It takes lots of things into consideration,4,Not completely as it make not show the true potential of one ,4,10,5,10,20,3,1,1,51,100,7
364,1,1,1,1,8,"Ive been already working on similar software for a disease diagnosis, it speeds up whole process, but still there is a check up needed",10,its all about machine learing and processing loads of data,9,"its again based on data, so its has no emotional or personal issues in it",9,"once again, its data based but it can still be wrong sometimes",9,7,9,7,34,5,1,5,25,0,6
442,2,3,7,1,6,to come with all the necessary information,6,collects information from large sources,8,involve everyone in decision making,10,convinient decisions,5,5,5,5,26,5,1,1,60,32,1
327,1,2,2,1,10,The AI has no emotions that would hinder judgment.,7,I have a decent understanding of how algorithms are involved in decision making.,5,"""Fair"" is extremely subjective.",5,"It is not infallible, but still is a useful springboard.",5,0,5,0,40,3,2,4,0,0,6
245,2,4,8,1,5,I think it would be useful information but each case will vary therefore its not really fair ,1,i dont really understand how the decision is made ,2,not fair ,2,i think it should be decided by real people with the help of AI ,10,4,10,1,23,5,2,1,20,8,6
233,1,1,1,1,7,It is important for a human to verify AI when making such important decisions about prioritization of different people's health. AI may not always pick up on outliers or human-centered decision making.,4,This survey has not yet explained the different factors that the AI bases its decisions off of.,4,"I understand that the aim of AI is to be fair, yet there are not enough details to know.",4,"As a potential patient or a potential relative to a patient that would be subject to this type of decision making, it is hard to have an un-biased opinion as you want your loved ones to be taken care of.",6,8,6,8,31,6,2,1,24,4,5
364,2,2,6,1,7,it takes all conditions into consideration,4,not too clear on the functions of artificial intelligence,5,it is a machine that lacks human consideration and empathy,4,lacks human empathy,7,4,7,5,18,3,2,8,29,81,1
190,2,3,7,1,6,Knows more information and can collate ,4,I'm not very sure,3,I think it would be more fair than a human.. No conflicts,6,But hard to decide ,2,3,2,3,39,5,2,4,15,19,6
222,1,2,2,1,9,The AI can use much more available information,8,It was just explained,8,It takes information from a lot of different fields and combines it to form a right decision ,8,AI will make less mistakes than a human will,8,8,8,8,23,5,2,1,3,2,6
282,1,1,1,1,5,I think that AI is good up to a point but big decisions require human input too.,8,I know that AI uses data supplied to it and makes decisions based on probability/ fact rather than emotion or other reasoning.,5,It depends on who programmed the AI - there could easily be some bias based on how it has been set up.,5,I don't think AI alone is reliable enough to make these sorts of decisions.,5,5,5,5,41,2,2,5,60,0,6
331,1,2,2,1,7,It depends on the situation and AI as of right now I don't think is trained enough to be able to make 100% right decisions regarding what can people's lives,4,"Kind of, I did a university course on the subject but I don't consider myself expert enough on the topic",8,It is since it doesn't have any personal attachment to it,6,"I believe that some human touch should be in it, when I think of AI I think about some sort of cold blooded figure without empathy or little of it",9,1,2,10,25,2,2,1,29,20,2
225,2,4,8,1,7,It is very useful ,8,It is very clear,6,Emotions are not taken in consideration ,7,It is still a computer,5,2,6,3,20,2,2,6,62,3,6
839,2,1,5,1,7,"I agree with the statement, but would need to learn more before agreeing strongly",0,The decision process has not been explained to me yet,5,I have no opinion as I don't know how it works,5,I don't know how it makes these decisions yet,5,0,5,0,38,3,1,3,0,0,6
453,2,3,7,1,5,"I think that the human factor is also important here, in my opinion AI can not consider the human factor",6,It analyzes the data available in order to make the decisions,5,"The human factor is important, the AI can not take that into account",4,"The AI makes informed decisions from the information available, but not all information needed to make an informed decision may be available to the AI",5,5,5,5,22,5,2,2,30,11,6
359,2,3,7,1,8,"With the use of AI, the Lead Officier has a great overview of information needed to form a decision. Even though these numbers don't guarantee a criminal won't commit a felony again, it gives a proper overview and shows who needs support.",7,"As far as I'm concerned, the AI takes a look at gathered data and looks at the extent to which someone needs support most. I'm fairly certain a convicted person's numbers need to meet certain requirements.",6,I do not fully agree because numbers are not always representative for someone's behaviour. I think a second opinion by a real person is needed to keep it fair,7,"Yes, as long as rules are set by real humans I don't think AI can make very wrong decisions. ",8,8,8,8,19,5,2,1,25,1,6
375,1,4,4,1,3,Using AL to help with decision making may be a disadvantage to some patients needing help urgently ,4,I don't agree with all the factors the AL considers. ,5,I am in the middle with this one because I believe that it might not be fair in every situation and to every patient needing help urgently. ,5,I do. However I acknowledge that it might not always make the right decision ,8,10,8,10,23,4,2,1,61,80,1
354,1,3,3,1,7,AI is more objective,6,Nothing to explain here,6,It depends on how it was programmed and if all important variables were put in ,6,Depends on how well it was programmed,10,10,10,10,38,6,2,10,1,1,6
1551,1,2,2,1,0,It will make the decision to be well Stationed and be of great conditions. ,9,It will allow better decisions on Some techniques. ,10,This always makes great decisions for its value and great conditions ,10,I really trust the way it makes decisions for specific operations. ,6,8,7,6,32,6,1,6,55,85,1
431,2,3,7,1,8,Faster and easier tot decide,9,Looks at different things to decide,9,Can make a good decision,9,Uses all of the information it has,2,8,2,8,33,4,2,4,50,30,6
345,1,2,2,1,9,I believe the AI could help the Lead Consultant with getting him all the data and information he would need to decide faster and more organized.,6,I think it gathers all the information it has and then decide which case is the priority,3,depends on what the AI considers as fair,2,"Not really, i would still prefer for the consultant to make the final decision",10,10,10,10,25,5,1,1,20,9,6
323,1,4,4,2,10,Human input considers other variables the side cannot,5,Some doubt over data,5,Depends upon where and how the data is collected ,5,Depending upon data collection ,5,5,5,5,44,3,2,7,41,0,6
253,1,4,4,1,8,It can be used but as a help/confirmer for personal decisions,8,It calculates all factors and gives each of them a rating to count,8,The factors are such factors humans would also consider in this type of decisions,6,"Not as an only decision maker, more to confirm the decision of a human being. ",5,5,5,5,45,6,2,3,35,51,6
351,1,1,1,1,6,The AI can show things the doctor may have missed as it is impartial,5,It seems that the AI creates a rank of patients from most to least severe/life threatening,6,"It is all computerised so may be the most fair, however it will not have the human ability to empathise or make decisions outside of the data given",5,"No, I trust the leading consultant to use the information provided by the AI and make the decisions",10,6,10,5,28,6,2,3,10,40,1
496,1,3,3,1,8,I agree as the AI can make fair informed decisions,9,The AI use a range of important factors to make decisions ,8,AI makes use of many different factors to make its decision which is necessary when working with different patients with different medical problems ,6,I am skeptical of AI making these decisions ,0,10,0,10,20,2,2,1,30,50,7
398,1,2,2,1,5,I feel it's person dependant whether or not they choose to use AI to help. Technology is a wonderful thing but it also has its faults and with that people may not have faith in the performance of the AI system. A lead consultant may feel the only person best to determine who needs to receive care first is themselves and their medical team,7,I have some knowledge on AI and how it uses information to come to decision ,8,100% none biased and based of facts alone,7,"I think provided absolutely all information is provided AI has the ability to make accurate, none biased and informed decisions",0,10,0,10,27,3,2,6,50,28,6
480,2,1,5,1,10,The AI is better equipped and qualified to make informed decisions.,5,"I am not a qualified AI, thus I do not fully understand their decision making process.",9,"If the AI does their job correctly and considers all factors when makong decisions, the outcome should be fair.",9,"I believe the AI will be the best candidate to make these decisions, rather than other unqualified officials in the police department.",0,1,0,2,23,5,2,6,8,65,6
514,1,1,1,1,7,Since humans can be emotionally invested an AI could be making a better decision based on other facts,4,"I don't know for sure, but I guess it's based on all the available information from a patient",6,Yes and no. Yes: based on facts. No: based on lack of emotional investment,7,In cases like this I guess being emotionally invested is not always the best way to make a decision but at the same time some factors that are not hard facts but do play a big part could be left behind,3,9,3,9,26,2,2,3,30,0,7
322,1,1,1,1,9,The AI can do an analysis but it should always be up to a human to add sentiment into the decision making,4,"I understand the use but not the how, I'm not a computer engineer",7,"If evidence based, yes",8,It will learn over time so it must be a good machine by the time it used on a wider scale,10,0,10,0,30,5,1,6,14,1,6
468,2,4,8,1,8,"I see no reason why the Lead Officer shouldn't. The algorithm takes into consideration a number of factors to determine whether the prisoner is likely to reoffend, and these are weighted. The final decision can be made by the officer, but they should be guided by the AI results.",10,The determining factors are weighted to determine whether the prisoner is likely to reoffend.,9,It seemed the factors mainly based on factors the individual has control of i.e. behaviour and past offences. The non-modifiable factors such as age and sex could be seen to be unfair.,8,"Yes, it is independent and focused only on the data.",10,10,10,10,36,6,1,8,35,2,5
725,1,2,2,1,7,"Well since its a matter of life and death using, an AI will be the best way of making logical desicions.",7,"AI make desicions based off data supplied to it, calculating succes rates of previous information comapred to the present situation at hand. ",4,"I wouldn't say fair, it only makes the most logical desicion for a scenario.",3,"No, but i will allow it under the supervision of an health consultant.",7,4,5,7,42,5,1,5,35,61,6
597,1,4,4,1,8,"Machines are made to help humans in difficulty situations. In this senerio, the AI predictions will be more accurate.",3,I don't seems to get the process involved in AI decisions,8,"Unlike humans, AI has no feelings. So, no nepotism, tribalism and corruption.",8,These decisions are made fron laid down procedures.,3,2,8,8,30,6,1,7,17,61,6
526,1,3,3,1,7,I think a well trained ai can use much more data in a shorter time than any human can. I think ai should be used to give more information to the consultant but shouldn't be used to make every decision. ,5,"I understand a bit about ai, how it uses information to come up with a model then uses this model to make predictions. But im unsure on the specifics.",7,"It doesn't take into account anything other than information. Its not biased, but isnt all encompassing ",8,I mostly do. I think they make less mistakes than humans do.,3,5,3,4,29,5,1,5,30,0,6
648,2,1,5,1,6,"I think the AI would provide helpful insight by being able to scan all ex offenders at a quick rate but the lead officer offers a more human, emotion based opinion that is also useful.",3,"I do not understand much about AI and technology in general, and what exactly this AI is looking out for to make an ex offender more or less likely to receive additional support, but I do know it scans the profiles of many/all ex offenders to make a decision.",7,"I guess fair is an subjective term, but I do believe the AI makes fair decisions because it is completely objective and without emotion. ",4,I do not trust technology and anything without emotion to make consistently good decisions for the well being of everyone. ,0,4,0,6,18,4,2,11,7,16,7
698,2,3,7,1,7,"The AI only makes decisions based on facts, the lead officer could change his mind based on emotion. If the lead officer and the AI work together, the decisions would be based on both emotion and facts. I think this is the only right way to make decisions.",7,"I’m not great at tech related stuff, but I understand the information I got on the AI. Just not how exactly the AI operates.",7,"It’s based on facts, so that’s fair. Although, sometimes there’s other factors that should be looked at other than just facts. Like the character of the ex-offender.",8,"It’s programmed to make these decisions, so yes.",8,10,9,10,23,2,2,2,50,20,6
676,2,3,7,1,6,The AI seems to take into account many factors which I believe would be pertinent to whether the person would need extra support on probation however computers are prone to glitches and also don't have the ability to see nuances like humans do and AI doesn't have the years of real life experience that police officers do. So I think a lot of police input should be involved and they shouldn't rely too heavily on AI. ,6,"On the previous page it was stated that age, sex, education level, behaviour in jail, previous crimes are all used to determine whether the person will need extra support. So I presume that AI will assess if a person falls into many high risk categories and from there decide whether they would require support or not. ",4,"I think potentially the AI relies too heavily on demographics, location etc to take into account personal differences and individuality ",4,I believe AI could be helpful in making these decisions as it could analyse a lot of data quickly but I don't believe it could ever live up to human intuition and personal knowledge of individuals which is even more valuable in making these decisions,8,8,7,7,23,2,2,6,4,90,8
1937,2,3,7,1,8,Artificial Intelligence (AI) available in the police department that can decide which ex-offenders should be prioritised to receive support from their probation officers first.,8,AI considers all factors to decide which ex-offenders should be prioritised for support from their probation officer,7,Beacuse it considers past ex-offenders details,8,Bacause it is AI,7,6,3,7,32,5,1,5,25,76,1
283,2,2,6,1,2,Humans shouldn't be left out of big choices like thsi,1,I dont understand ai at all,0,Its just random,0,I dont trust computers with a big choice like this ,10,0,10,0,43,3,1,4,21,1,6
465,2,3,7,1,6,The AI May give helpful information but human interaction is still the best judge of character ,8,It makes a decision based on a number of characteristics that have already been loaded or Pre programmed onto a system ,3,It is more of a stereotype than an accurate assessment ,5,I think it can go either way really.,1,1,1,1,28,3,2,7,40,60,1
508,1,3,3,2,7,"Even with those factors taken into account, there is always subtle differences between people who might get the same 'score' by the AI. It can however help the consultant to quickly categorize people in urgent and less urgent, and then make their own decision about who should and will be prioritized.",7,"I understand how AI's get trained, however, there will be a point where nobody knows exactly how the AI came to that decision. This is partially the root of how AI works.",7,"Objectively, it is probably fair. However, there are loads of discussions to be held about ethics and what makes something truely 'fair'. It depends on what fair means to the person in question.",6,"I trust AI to help decision making easier for the person in charge, however, it does not seem ethical to let AI make life or death decisions ",8,3,8,4,27,6,2,7,35,0,6
637,1,4,4,1,4,"I feel that the AI could be helpful in times of extreme backlog or to help sort and present data in a useful way, but in the end I feel the lead consultant should make the decision based on the health needs and severity of each case. I feel that situations of life and death need a human decider if it is possible",3,"Based on the previous info given I understand what data about the patient the AI use to determine their need for treatment, but I do not understand how the AI would rank the importance of those variables",5,"I am sure it would be designed to be as fair as possible, but I do not understand which variables would be given the most importance, so I am unsure",6,"Not by themselves, if it was verified by a person then yes",3,7,3,7,20,3,2,12,20,5,7
265,2,2,6,1,4,"I think that you can use AI to organize people based on what types of crimes typically have the most recidivism, but at the end of the day probation officers and police officers need to evaluate who needs priority based on some type of subjective evaluation as well.",5,"I somewhat understand how, but I obviously do not fully grasp the concept as I have not ever developed an AI.",8,"AI is impersonal and therefore makes decisions based on objective things, which inherently is balanced for all.",5,"I trust AI to help make the decisions, but not to make the entire decision on its own.",4,8,4,8,25,5,1,6,61,54,6
397,2,1,5,1,10,Lead Officer will also be able to understand personal developments,2,Not sure how decisions would be made,5,Do not understand full procedure so unsure if it’s a fair decision,3,Do not fully understand procedures ,1,9,1,9,65,3,2,4,30,20,6
745,1,3,3,1,10,The AI makes the process of decision making more efficient and less timely,9,"The AI collects each patients required information based on a number of factors such as age, gender, medical history, waiting list, etc. This information is then used to create a list of the patients listing the high priority patients at the top.",8,"The patience who ""need"" treatment first are prioritized, potentially saving lives.",8,Even though I trust the AI system there could still be room for error.,6,5,8,7,23,3,2,3,45,80,1
959,1,4,4,1,6,Feel a little uneasy in the use of technology for this important matter.,8,Very precise explanation.,5,"In print it looks logical, but human welfare is at risk.",3,Do not have total faith in Al making major decisions.,10,8,10,8,61,5,2,11,38,70,6
568,2,1,5,1,9,Avoids human error ,6,"Works as programmed, uses information given",9,As long as it’s programmed unbiasedly ,6,Should be checked over by a human ,8,6,4,4,18,2,2,3,6,2,6
671,1,3,3,1,9,"AI is much faster,reliable and makes less error.",8,"it uses data on medical patients, current medical conditions, age, sex and calculates procedures required.",9,AI will caculate the procedures required before assigning a patient. ,9,ai has proving to be 99 percent effective,8,9,10,9,33,6,1,2,9,61,1
641,2,4,8,1,5,Human intuition is always very important in these kind of decisions.,3,I'm not sure if I understant its priorities.,2,An AI can't be fair because it can't possibly know all the factors present in each desicion.,1,It can sort a list but it can't replace human intuition.,9,2,7,5,20,3,2,3,25,5,6
506,2,1,5,2,8,The Lead Officer should use AI but with care and not trust it blindly,4,AI makes decisions based on users experiences and feedback,5,I don't have enough knowledge to confirm wether it's fair or not,6,I believe it can be trusted to help make decisions,9,10,10,10,29,5,2,2,16,0,6
892,2,4,8,1,10,Which will help them to get the exact information they need to make the decision,10,For them to know what they are looking for,10,Is fair for them to get the information properly,10,The way they make decisions are correct and in ordered form,0,1,9,10,23,2,1,11,100,100,1
388,1,4,4,1,7,"I think it could be very helpfull, AI cant be wrong. It will be huge help for doctors.",6,AI use an algorythm.,8,"I think AI couldn be wrong, the algorythm is always worked.",7,"Yes i trust, this will be our medical future.",10,10,7,7,32,6,2,3,30,7,6
182,2,3,7,1,6,AI is very useful to inform a design but should not be the only source of information,1,I have very limited knowledge of ai,6,AI is designed to make a fair decision,6,"I do trust AI somewhat, however after getting use to using and AI I think I could develop more trust",7,6,10,6,20,3,2,1,0,0,6
520,1,4,4,1,6,There should still be some form of human thinking to make decisions rather than being extremely reliant on AI as human brains have more capacity outside of just using strategy ,4,I understand based on the description but a clear example of it working or the process of it would make it clearer,6,It’s fair as it takes into account a lot of data but may not be able to see the full picture correctly like a human,5,I trust it but not completely on it own without any other input or guidance ,4,10,3,9,19,2,2,11,24,100,1
361,2,3,7,1,9,They shouldn't solely use the AI however the AI will have a lot of information for prioritising and will be unbiased,10,The AI will use all its information to rate how much a prisoner may need extra help upon release,8,It will use a lot of information however it won't know from personal experience how much a prisoner may need extra help outside of that information ,8,I wouldn't trust it to be the sole reason for the decision but I think if an officer can override the AI decision if it felt needed that would be a good idea. ,6,10,5,10,30,3,2,2,50,0,6
538,2,3,7,1,7,"Depending on the efficiency of the AI decisions can be made without human errors, like prejudice and opinions. Of course if these human errors have been implemented into the AI by mistake it will just repeat these errors. ",6,"Somewhat. Depending on which type of AI it is, it can either be completely self taught with minimal human input or certain human inputs will guide the decisions that the AI takes. ",9,"Depending on the type of the AI. An AI programmed to be 'fair' will in most cases be 'fair'(except for programming bugs etc.), it is designed to be that way.",9,As we have seen with the self driving AI from tesla and other companies I do trust a well designed   AI over the decisions of humans,4,2,8,9,22,3,1,11,30,0,6
506,1,1,1,1,10,"It could have added value to use artificial intelligence to prioritize patients, but I also mean that the lead consultant should make the end decision.",6,"It makes use of algorithms, based on scientific research.",7,"Yes, I do think that the way AI makes decisions is fair, it's more objective than the decision made by a person, who can be prejudiced. However, I do think AI is not infallible and should be controlled by humans. ",7,I think this is not flawless and should be checked (at least by sampling) by humans.,7,10,9,1,26,6,2,4,50,30,6
378,1,3,3,1,6,All things can sometimes go wrong so this in turn would be a great backup.,7,It is simply based on an artificial inteligence simulating the mind of say a patients. That is why it is able to make decisions such as booking appointments.,7,It sounds a fair system tho once again been artificial intelligent could be prone to one or two errors.,7,I think on the whole we should trust the al.,7,5,4,8,25,3,1,3,50,50,6
278,2,1,5,2,1,Ais are too rational to decide that,1,i don't understand,6,because it's more rational,1,"only uses a predetermined code to make decisions, doesn't take into consideration other important aspects of the human behaviour",9,9,9,9,22,5,2,1,2,55,6
311,2,3,7,1,4,the ai can be used but it doesn’t have any information on the personality of the offender or how they have changed ,4,it makes decisions based on many factors about the offender ,3,it doesn’t have information about the actual person and how they’ve changed regardless of their previous behaviour ,2,i don’t think the decisions it makes have well rounded information ,8,4,8,6,18,2,2,3,8,0,6
270,1,2,2,1,5,Not really,2,I don't really get how they make the decision,3,Not really because the patients are not having the decision for themselves,5,i dont know,3,4,4,8,48,2,2,3,50,70,4
452,2,1,5,1,6,Because with the AI it going to give fair decision compare to the human,1,I have little idea on it,6,Yes because it’s a computer programmer it won’t be unfair ,5,Yes because it doesn’t work with emotional ,7,9,4,5,26,5,1,1,60,90,1
164,2,4,8,1,7,It provides a good starting point.,3,Don't understand the process behind it.,6,Based on clear data.,6,Human input needed.,8,8,8,8,42,6,2,10,29,65,6
667,2,2,6,1,5,It depend on the decision need to be made not every decision should be directed to AI unless it's high profile case ,6,It is discussed with high intellectual personal and its investinged in all aspect ,7,All the aspects are looked at,8,The will be a fair decision made,6,10,7,10,30,2,2,1,56,63,1
232,1,3,3,1,5,50/50. The consultant should also use their own professional judgement alongside the information given by the AI,8,The ai uses an algorithm to determine patient priority based on statistics,6,In a sense yes but also again the consultant should be using professional judgement ,6,It's a solid algorithm but once again the consultant should be the end decision maker ,10,10,10,10,29,4,2,4,37,0,6
425,2,2,6,1,7,I think the AI's capability to organize all the information and conclude the best decision in each case is valuable to the Lead Officer,2,I do not think i understand completely the algorithm in the AI to make the best decision ,6,"The AI can provide objetive data to support one decision. However, human values should also be weighted ",5,I do not think the AI should have the 100% power in making those decisions since it lacks some human insight,5,9,6,8,24,6,2,11,5,3,6
181,1,4,4,1,7,"The consultant should USE the AI, but not RELY on the AI. Human perspectives in decision making will always be more important than AI decisions, even if AI appears more logical.",5,"I understand the logic of how the AI makes the decisions, but not the specifics.",5,I am uncertain either way.,4,I trust human decision making above AI.,3,5,7,8,28,5,2,8,20,5,6
1041,2,2,6,2,2,Because No AI machine is 100% efficient.,8,AI make there decisions completely unbiased because they've not been build with that.,8,"Yes, bc AI doesn't have the emotions to be unfaithful and unfair ",5,Some what agree nor disagree beautiful machine can be faulty at times ,1,8,7,8,25,6,2,12,4,79,8
335,1,3,3,1,7,The Lead Consultant should use the AI if it is properly implemented.,5,"I have seen articles and videos explaining AI, but no formal education.",5,"Fairness is a subjective matter, any decision can be classified as fair/unfair to someone.",6,I’m slightly unsure of the implementation of the AI in question.,3,8,3,8,18,2,1,4,25,0,1
564,1,1,1,1,6,"AI can use date to categorize the patients from top priority to least, doctors can then use that information to treat patients accordingly. From a purely medical point of vue AI can be useful, but the human side is still needed to treat patients.  ",6,"I think AI makes decisions based on pure data, it doesn't take into account the emotions of patients ",6,"technically yes, it uses medical data ",4,"machinerie does need a human behind it in case anything goes wrong, and I do not trust AI to make a full decision, humans still need to be invold",10,2,10,10,22,5,2,1,20,1,6
712,1,2,2,2,7,Sometimes in under pressure situations we are not able to see all the perspectives to take the right decision and maybe the A.I. can show some point that the hospital board is not seeing clearly. But only as guidance and never as main decision factor.,3,I do not have a deep knowledge about how it works,5,I think it will depend on the situation.,3,"Probably if i have more information about how it works, but with the one i have probably i wouldn't feel comfortable",8,4,9,5,26,3,1,2,30,50,6
457,2,2,6,1,7,"AI sounds like it could be useful in informing decisions, but should not be given 100% of the control, as the AI could hold bias, and also lacks human empathy.",4,"cognitions etc, but i dont know or understand how it draws conclusions.",5,"reductionist approach, only taking brains/cognitions into account",6,"Provides insight that is diifucult for humans to obtain, but the decision making should be left up to humans",8,5,6,4,19,2,2,3,5,10,6
